iter	RMSE
0	4.931171513
1	4.861098931
2	4.800813954
3	4.729521547
4	4.668740634
5	4.614275074
6	4.547478658
7	4.477318588
8	4.411831465
9	4.351968886
10	4.289062656
11	4.246517457
12	4.190356022
13	4.135577091
14	4.09394022
15	4.050020324
16	3.996311862
17	3.949927915
18	3.899035998
19	3.867875866
20	3.834849886
21	3.78784692
22	3.737953615
23	3.69283436
24	3.648256976
25	3.605132776
26	3.562883114
27	3.523789303
28	3.492614448
29	3.456301707
30	3.417439003
31	3.38632637
32	3.361627478
33	3.322040799
34	3.2925224
35	3.25944326
36	3.229733675
37	3.195836868
38	3.173128121
39	3.144527872
40	3.113020528
41	3.081102891
42	3.050141111
43	3.020430895
44	2.993659518
45	2.966505726
46	2.936482838
47	2.911305781
48	2.882950855
49	2.856639551
50	2.827718611
51	2.801945263
52	2.773883413
53	2.754835724
54	2.736491872
55	2.715699614
56	2.686168069
57	2.670521678
58	2.645924146
59	2.623635656
60	2.599037735
61	2.575428432
62	2.553687205
63	2.535883033
64	2.516741518
65	2.49693098
66	2.482966878
67	2.464605795
68	2.441318609
69	2.419920537
70	2.416757301
71	2.396515976
72	2.380333336
73	2.360117986
74	2.349111998
75	2.331468225
76	2.309298215
77	2.294775875
78	2.277707831
79	2.263508927
80	2.248273871
81	2.244139641
82	2.241409394
83	2.220061259
84	2.215294987
85	2.202827243
86	2.18683917
87	2.169695573
88	2.165778665
89	2.163105983
90	2.147552145
91	2.129946352
92	2.115326917
93	2.098608792
94	2.084818331
95	2.082125805
96	2.076080304
97	2.072414664
98	2.069647272
99	2.058752227
100	2.05598244
101	2.038180247
102	2.034533461
103	2.030762178
104	2.020139307
105	2.01730341
106	2.005786729
107	2.000585966
108	1.997917127
109	1.995307744
110	1.992690891
111	1.990125636
112	1.978525536
113	1.975951561
114	1.973188255
115	1.970667705
116	1.954814273
117	1.952298339
118	1.949647933
119	1.940527788
120	1.937969394
121	1.935565764
122	1.928483678
123	1.925312473
124	1.922694461
125	1.920248684
126	1.917105293
127	1.914594349
128	1.902355164
129	1.891829142
130	1.889444033
131	1.887052366
132	1.884712548
133	1.882111891
134	1.879077356
135	1.876618696
136	1.874247233
137	1.871250175
138	1.869021117
139	1.855876569
140	1.853569308
141	1.851361652
142	1.849155106
143	1.846930368
144	1.839390756
145	1.826231083
146	1.823983009
147	1.821798744
148	1.819581687
149	1.817376376
150	1.807101256
151	1.8049559
152	1.802782694
153	1.800614712
154	1.798451043
155	1.796300147
156	1.785477313
157	1.77440642
158	1.772155254
159	1.770101389
160	1.768016701
161	1.765879518
162	1.763804755
163	1.761731408
164	1.759706082
165	1.757655217
166	1.75502634
167	1.753013964
168	1.740585253
169	1.738522154
170	1.736509038
171	1.733984263
172	1.732053191
173	1.719832751
174	1.717324842
175	1.714847018
176	1.712881548
177	1.710907736
178	1.709020231
179	1.707084408
180	1.705156699
181	1.702678698
182	1.700262974
183	1.698327701
184	1.696471608
185	1.684813056
186	1.682939993
187	1.681082744
188	1.679153703
189	1.677309003
190	1.675473796
191	1.67369347
192	1.671887249
193	1.66956987
194	1.667729675
195	1.665934857
196	1.664115808
197	1.662340521
198	1.660584194
199	1.658858556
200	1.657158866
201	1.655388198
202	1.653640662
203	1.651897817
204	1.650163809
205	1.648489052
206	1.634339795
207	1.632649273
208	1.630974582
209	1.629333671
210	1.627695835
211	1.626021198
212	1.624399524
213	1.622765853
214	1.618439539
215	1.616858235
216	1.615259221
217	1.61369373
218	1.61209511
219	1.610520209
220	1.608899159
221	1.607319035
222	1.605749183
223	1.604185236
224	1.602649973
225	1.601124271
226	1.599609492
227	1.598112215
228	1.596599477
229	1.594630754
230	1.593164074
231	1.591653536
232	1.590183283
233	1.588738217
234	1.58717449
235	1.58572192
236	1.584276189
237	1.582819413
238	1.581388621
239	1.579958876
240	1.578546635
241	1.57713139
242	1.575708696
243	1.574327844
244	1.570237082
